Final County_fips,Combined county areas-used in PUR and DHC,Official Census Areas,Census GEOID,AK Senate Districts
02037,"Aleutians-Peninsula-Bristol-Dillingham, Alaska","Aleutians East Borough, Alaska",2013,D37
02037,"Aleutians-Peninsula-Bristol-Dillingham, Alaska","Aleutians West Census Area, Alaska",2016,D37
02014,"Anchorage Municipality, Alaska","Anchorage Municipality, Alaska",2020,D13-D28
02038,"Bethel Census Area, Alaska","Bethel Census Area, Alaska",2050,D38
02037,"Aleutians-Peninsula-Bristol-Dillingham, Alaska","Bristol Bay Borough, Alaska",2060,D37
02030,"Chugach-Kenai-Kodiak-Yakutat, Alaska","Chugach Census Area, Alaska",2063,D29-D32
02006,"Copper R-SE Fairbanks-Yukon, Alaska","Copper River Census Area, Alaska",2066,D6
02010,"Denali Borough, Alaska","Denali Borough, Alaska",2068,D10
02037,"Aleutians-Peninsula-Bristol-Dillingham, Alaska","Dillingham Census Area, Alaska",2070,D37
02002,"Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska",2090,D1-D5
02033,"Haines-Hoonah-Angoon-Skagway, Alaska","Haines Borough, Alaska",2100,D33
02033,"Haines-Hoonah-Angoon-Skagway, Alaska","Hoonah-Angoon Census Area, Alaska",2105,D33
02034,"Juneau City and Borough, Alaska","Juneau City and Borough, Alaska",2110,D34
02030,"Chugach-Kenai-Kodiak-Yakutat, Alaska","Kenai Peninsula Borough, Alaska",2122,D29-D32
02036,"Ketchikan-Wrangell City, Alaska","Ketchikan Gateway Borough, Alaska",2130,D36
02030,"Chugach-Kenai-Kodiak-Yakutat, Alaska","Kodiak Island Borough, Alaska",2150,D29-D32
02039,"Kusilvak-Nome, Alaska","Kusilvak Census Area, Alaska",2158,D39
02037,"Aleutians-Peninsula-Bristol-Dillingham, Alaska","Lake and Peninsula Borough, Alaska",2164,D37
02012,"Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska",2170,"D7, D8, D9, D11, D12"
02039,"Kusilvak-Nome, Alaska","Nome Census Area, Alaska",2180,D39
02040,"Northwest Arctic-North Slope, Alaska","North Slope Borough, Alaska",2185,D40
02040,"Northwest Arctic-North Slope, Alaska","Northwest Arctic Borough, Alaska",2188,D40
02035,"Prince of Wales-Hyder-Sitka-Petersburg, Alaska","Petersburg Borough, Alaska",2195,D35
02035,"Prince of Wales-Hyder-Sitka-Petersburg, Alaska","Prince of Wales-Hyder Census Area, Alaska",2198,D35
02035,"Prince of Wales-Hyder-Sitka-Petersburg, Alaska","Sitka City and Borough, Alaska",2220,D35
02033,"Haines-Hoonah-Angoon-Skagway, Alaska","Skagway Municipality, Alaska",2230,D33
02006,"Copper R-SE Fairbanks-Yukon, Alaska","Southeast Fairbanks Census Area, Alaska",2240,D6
02036,"Ketchikan-Wrangell City, Alaska","Wrangell City and Borough, Alaska",2275,D36
02030,"Chugach-Kenai-Kodiak-Yakutat, Alaska","Yakutat City and Borough, Alaska",2282,D29-D32
02006,"Copper R-SE Fairbanks-Yukon, Alaska","Yukon-Koyukuk Census Area, Alaska",2290,D6
,"https://data.census.gov/map/040XX00US02$0500000?y=2020&layer=VT_2020_050_00_PY_D1&loc=63.8230,-153.5362,z4.3622",,,
,,https://www.elections.alaska.gov/results/20GENR/Map/,,
